signal,signal_len,dataset,interval,count,anomaly_len
A3Benchmark-TS51,1680.0,YAHOOA3,1.0,13.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS45,1680.0,YAHOOA3,1.0,5.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS53,1680.0,YAHOOA3,1.0,15.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS47,1680.0,YAHOOA3,1.0,15.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS90,1680.0,YAHOOA3,1.0,10.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS84,1680.0,YAHOOA3,1.0,5.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS85,1680.0,YAHOOA3,1.0,8.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS91,1680.0,YAHOOA3,1.0,5.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS46,1680.0,YAHOOA3,1.0,3.0,"[1.0, 1.0, 1.0]"
A3Benchmark-TS52,1680.0,YAHOOA3,1.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS56,1680.0,YAHOOA3,1.0,1.0,[1.0]
A3Benchmark-TS42,1680.0,YAHOOA3,1.0,16.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS95,1680.0,YAHOOA3,1.0,16.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS81,1680.0,YAHOOA3,1.0,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS80,1680.0,YAHOOA3,1.0,13.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS94,1680.0,YAHOOA3,1.0,3.0,"[1.0, 1.0, 1.0]"
A3Benchmark-TS43,1680.0,YAHOOA3,1.0,15.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS57,1680.0,YAHOOA3,1.0,9.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS69,1680.0,YAHOOA3,1.0,7.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS41,1680.0,YAHOOA3,1.0,14.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS55,1680.0,YAHOOA3,1.0,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS9,1680.0,YAHOOA3,1.0,10.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS82,1680.0,YAHOOA3,1.0,7.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS96,1680.0,YAHOOA3,1.0,5.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS97,1680.0,YAHOOA3,1.0,10.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS83,1680.0,YAHOOA3,1.0,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS8,1680.0,YAHOOA3,1.0,4.0,"[1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS54,1680.0,YAHOOA3,1.0,15.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS40,1680.0,YAHOOA3,1.0,9.0,"[1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS68,1680.0,YAHOOA3,1.0,16.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS100,1680.0,YAHOOA3,1.0,10.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS27,1680.0,YAHOOA3,1.0,9.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS33,1680.0,YAHOOA3,1.0,8.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS32,1680.0,YAHOOA3,1.0,14.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS26,1680.0,YAHOOA3,1.0,11.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS30,1680.0,YAHOOA3,1.0,8.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS24,1680.0,YAHOOA3,1.0,8.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS18,1680.0,YAHOOA3,1.0,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS19,1680.0,YAHOOA3,1.0,10.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS25,1680.0,YAHOOA3,1.0,2.0,"[1.0, 1.0]"
A3Benchmark-TS31,1680.0,YAHOOA3,1.0,7.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS35,1680.0,YAHOOA3,1.0,3.0,"[1.0, 1.0, 1.0]"
A3Benchmark-TS21,1680.0,YAHOOA3,1.0,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS20,1680.0,YAHOOA3,1.0,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS34,1680.0,YAHOOA3,1.0,1.0,[1.0]
A3Benchmark-TS22,1680.0,YAHOOA3,1.0,4.0,"[1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS36,1680.0,YAHOOA3,1.0,4.0,"[1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS37,1680.0,YAHOOA3,1.0,10.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A3Benchmark-TS23,1680.0,YAHOOA3,1.0,15.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS99,1680.0,YAHOOA4,1.0,15.0,"[1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS72,1680.0,YAHOOA4,1.0,5.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS66,1680.0,YAHOOA4,1.0,1.0,[1.0]
A4Benchmark-TS67,1680.0,YAHOOA4,1.0,14.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS73,1680.0,YAHOOA4,1.0,5.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS98,1680.0,YAHOOA4,1.0,15.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS65,1680.0,YAHOOA4,1.0,15.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS71,1680.0,YAHOOA4,1.0,10.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS59,1680.0,YAHOOA4,1.0,1.0,[1.0]
A4Benchmark-TS58,1680.0,YAHOOA4,1.0,8.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS70,1680.0,YAHOOA4,1.0,4.0,"[1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS64,1680.0,YAHOOA4,1.0,5.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS48,1680.0,YAHOOA4,1.0,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS60,1680.0,YAHOOA4,1.0,3.0,"[1.0, 1.0, 1.0]"
A4Benchmark-TS74,1680.0,YAHOOA4,1.0,2.0,"[1.0, 1.0]"
A4Benchmark-TS75,1680.0,YAHOOA4,1.0,13.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS61,1680.0,YAHOOA4,1.0,3.0,"[1.0, 1.0, 1.0]"
A4Benchmark-TS49,1680.0,YAHOOA4,1.0,9.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS88,1680.0,YAHOOA4,1.0,13.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS77,1680.0,YAHOOA4,1.0,12.0,"[2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS63,1680.0,YAHOOA4,1.0,7.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS62,1680.0,YAHOOA4,1.0,14.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS76,1680.0,YAHOOA4,1.0,11.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS89,1680.0,YAHOOA4,1.0,9.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS11,1680.0,YAHOOA4,1.0,5.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS39,1680.0,YAHOOA4,1.0,16.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS38,1680.0,YAHOOA4,1.0,9.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS10,1680.0,YAHOOA4,1.0,4.0,"[1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS8,1680.0,YAHOOA4,1.0,13.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS12,1680.0,YAHOOA4,1.0,5.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS13,1680.0,YAHOOA4,1.0,14.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS9,1680.0,YAHOOA4,1.0,1.0,[1.0]
A4Benchmark-TS100,1680.0,YAHOOA4,1.0,7.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS17,1680.0,YAHOOA4,1.0,10.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS16,1680.0,YAHOOA4,1.0,1.0,[1.0]
A4Benchmark-TS28,1680.0,YAHOOA4,1.0,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS14,1680.0,YAHOOA4,1.0,11.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS15,1680.0,YAHOOA4,1.0,9.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS29,1680.0,YAHOOA4,1.0,14.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS2,1680.0,YAHOOA4,1.0,5.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS30,1680.0,YAHOOA4,1.0,5.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS24,1680.0,YAHOOA4,1.0,9.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS18,1680.0,YAHOOA4,1.0,1.0,[1.0]
A4Benchmark-TS19,1680.0,YAHOOA4,1.0,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS25,1680.0,YAHOOA4,1.0,11.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS31,1680.0,YAHOOA4,1.0,4.0,"[1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS3,1680.0,YAHOOA4,1.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS1,1680.0,YAHOOA4,1.0,13.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS27,1680.0,YAHOOA4,1.0,15.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS33,1680.0,YAHOOA4,1.0,4.0,"[1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS32,1680.0,YAHOOA4,1.0,11.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS26,1680.0,YAHOOA4,1.0,2.0,"[1.0, 1.0]"
A4Benchmark-TS4,1680.0,YAHOOA4,1.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS22,1680.0,YAHOOA4,1.0,10.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS36,1680.0,YAHOOA4,1.0,15.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS37,1680.0,YAHOOA4,1.0,3.0,"[1.0, 1.0, 1.0]"
A4Benchmark-TS23,1680.0,YAHOOA4,1.0,4.0,"[1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS5,1680.0,YAHOOA4,1.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS7,1680.0,YAHOOA4,1.0,14.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS35,1680.0,YAHOOA4,1.0,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS21,1680.0,YAHOOA4,1.0,13.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS20,1680.0,YAHOOA4,1.0,13.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS34,1680.0,YAHOOA4,1.0,8.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS6,1680.0,YAHOOA4,1.0,8.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS90,1680.0,YAHOOA4,1.0,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS84,1680.0,YAHOOA4,1.0,3.0,"[1.0, 1.0, 1.0]"
A4Benchmark-TS53,1680.0,YAHOOA4,1.0,2.0,"[1.0, 1.0]"
A4Benchmark-TS47,1680.0,YAHOOA4,1.0,1.0,[1.0]
A4Benchmark-TS46,1680.0,YAHOOA4,1.0,9.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS52,1680.0,YAHOOA4,1.0,11.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS85,1680.0,YAHOOA4,1.0,16.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS91,1680.0,YAHOOA4,1.0,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS87,1680.0,YAHOOA4,1.0,1.0,[1.0]
A4Benchmark-TS93,1680.0,YAHOOA4,1.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS44,1680.0,YAHOOA4,1.0,16.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS50,1680.0,YAHOOA4,1.0,7.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS78,1680.0,YAHOOA4,1.0,13.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS79,1680.0,YAHOOA4,1.0,3.0,"[1.0, 1.0, 1.0]"
A4Benchmark-TS51,1680.0,YAHOOA4,1.0,1.0,[1.0]
A4Benchmark-TS45,1680.0,YAHOOA4,1.0,7.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS92,1680.0,YAHOOA4,1.0,15.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS86,1680.0,YAHOOA4,1.0,15.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS82,1680.0,YAHOOA4,1.0,14.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS96,1680.0,YAHOOA4,1.0,2.0,"[1.0, 1.0]"
A4Benchmark-TS69,1680.0,YAHOOA4,1.0,2.0,"[1.0, 1.0]"
A4Benchmark-TS41,1680.0,YAHOOA4,1.0,13.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS55,1680.0,YAHOOA4,1.0,2.0,"[1.0, 1.0]"
A4Benchmark-TS54,1680.0,YAHOOA4,1.0,3.0,"[1.0, 1.0, 1.0]"
A4Benchmark-TS40,1680.0,YAHOOA4,1.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS68,1680.0,YAHOOA4,1.0,1.0,[1.0]
A4Benchmark-TS97,1680.0,YAHOOA4,1.0,16.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS83,1680.0,YAHOOA4,1.0,3.0,"[1.0, 1.0, 1.0]"
A4Benchmark-TS95,1680.0,YAHOOA4,1.0,5.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS81,1680.0,YAHOOA4,1.0,9.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS56,1680.0,YAHOOA4,1.0,16.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS42,1680.0,YAHOOA4,1.0,4.0,"[1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS43,1680.0,YAHOOA4,1.0,11.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS57,1680.0,YAHOOA4,1.0,6.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS80,1680.0,YAHOOA4,1.0,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A4Benchmark-TS94,1680.0,YAHOOA4,1.0,13.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
art_daily_flatmiddle,4032.0,artificialWithAnomaly,600.0,1.0,[201.00166666666667]
art_daily_jumpsdown,4032.0,artificialWithAnomaly,600.0,1.0,[201.00166666666667]
art_daily_jumpsup,4032.0,artificialWithAnomaly,600.0,1.0,[201.00166666666667]
art_daily_nojump,4032.0,artificialWithAnomaly,600.0,1.0,[201.00166666666667]
art_increase_spike_density,4032.0,artificialWithAnomaly,600.0,1.0,[201.00166666666667]
art_load_balancer_spikes,4032.0,artificialWithAnomaly,600.0,1.0,[201.00166666666667]
ec2_cpu_utilization_24ae8d,4032.0,realAWSCloudwatch,600.0,2.0,"[100.00166666666667, 100.00166666666667]"
ec2_cpu_utilization_53ea38,4032.0,realAWSCloudwatch,600.0,2.0,"[100.00166666666667, 100.00166666666667]"
ec2_cpu_utilization_5f5533,4032.0,realAWSCloudwatch,600.0,2.0,"[100.00166666666667, 100.00166666666667]"
ec2_cpu_utilization_77c1ca,4032.0,realAWSCloudwatch,600.0,1.0,[201.00166666666667]
ec2_cpu_utilization_825cc2,4032.0,realAWSCloudwatch,600.0,1.0,[171.00166666666667]
ec2_cpu_utilization_ac20cd,4032.0,realAWSCloudwatch,600.0,1.0,[202.50166666666667]
ec2_cpu_utilization_c6585a,4032.0,realAWSCloudwatch,600.0,0.0,[]
ec2_cpu_utilization_fe7f93,3958.0,realAWSCloudwatch,600.0,3.0,"[67.00166666666667, 67.00166666666667, 67.00166666666667]"
ec2_disk_write_bytes_1ef3de,4730.0,realAWSCloudwatch,600.0,1.0,[236.00166666666667]
ec2_disk_write_bytes_c0d644,4032.0,realAWSCloudwatch,600.0,3.0,"[67.00166666666667, 67.00166666666667, 67.00166666666667]"
ec2_network_in_257a54,4032.0,realAWSCloudwatch,600.0,1.0,[201.00166666666667]
ec2_network_in_5abac7,4730.0,realAWSCloudwatch,600.0,2.0,"[118.00166666666667, 118.00166666666667]"
elb_request_count_8c0756,4032.0,realAWSCloudwatch,600.0,2.0,"[100.00166666666667, 100.00166666666667]"
grok_asg_anomaly,4621.0,realAWSCloudwatch,600.0,3.0,"[77.00166666666667, 77.00166666666667, 77.00166666666667]"
iio_us-east-1_i-a2eb1cd9_NetworkIn,1243.0,realAWSCloudwatch,600.0,2.0,"[31.001666666666665, 31.001666666666665]"
rds_cpu_utilization_cc0c53,4032.0,realAWSCloudwatch,600.0,2.0,"[100.50166666666667, 100.00166666666667]"
rds_cpu_utilization_e47b3b,4032.0,realAWSCloudwatch,600.0,2.0,"[100.00166666666667, 100.00166666666667]"
exchange-2_cpc_results,1624.0,realAdExchange,3600.0,1.0,[162.00027777777777]
exchange-2_cpm_results,1624.0,realAdExchange,3600.0,2.0,"[80.00027777777778, 81.00027777777778]"
exchange-3_cpc_results,1538.0,realAdExchange,3600.0,3.0,"[50.000277777777775, 50.000277777777775, 54.000277777777775]"
exchange-3_cpm_results,1538.0,realAdExchange,3600.0,1.0,[158.00027777777777]
exchange-4_cpm_results,1643.0,realAdExchange,3600.0,4.0,"[40.000277777777775, 42.000277777777775, 40.000277777777775, 40.000277777777775]"
TravelTime_387,2500.0,realTraffic,600.0,3.0,"[618.5016666666667, 372.3016666666667, 128.20166666666665]"
TravelTime_451,2162.0,realTraffic,600.0,1.0,[444.40166666666664]
occupancy_6005,2380.0,realTraffic,600.0,1.0,[141.90166666666667]
occupancy_t4013,2500.0,realTraffic,600.0,2.0,"[74.00166666666667, 77.00166666666667]"
speed_6005,2500.0,realTraffic,600.0,1.0,[130.40166666666667]
speed_7578,1127.0,realTraffic,600.0,4.0,"[14.001666666666667, 14.801666666666666, 13.601666666666667, 14.001666666666667]"
speed_t4013,2495.0,realTraffic,600.0,2.0,"[75.00166666666667, 78.00166666666667]"
Twitter_volume_AAPL,15902.0,realTweets,600.0,4.0,"[198.00166666666667, 198.00166666666667, 198.00166666666667, 198.00166666666667]"
Twitter_volume_AMZN,15831.0,realTweets,600.0,4.0,"[197.00166666666667, 197.00166666666667, 197.00166666666667, 197.00166666666667]"
Twitter_volume_CRM,15902.0,realTweets,600.0,3.0,"[265.00166666666667, 265.00166666666667, 265.00166666666667]"
Twitter_volume_CVS,15853.0,realTweets,600.0,3.0,"[365.50166666666667, 198.00166666666667, 198.00166666666667]"
Twitter_volume_FB,15833.0,realTweets,600.0,2.0,"[395.00166666666667, 395.00166666666667]"
